epoch,step,train_loss_epoch,train_loss_step
0,2,1.215905785560608,
1,5,1.2279794216156006,
2,8,1.1952152252197266,
3,11,1.237319827079773,
4,14,1.2550338506698608,
5,17,1.0751965045928955,
6,20,1.190538763999939,
7,23,1.1454510688781738,
8,26,1.0306249856948853,
9,29,1.1344469785690308,
10,32,1.0124638080596924,
11,35,1.104649543762207,
12,38,1.1311362981796265,
13,41,1.159698486328125,
14,44,1.090102195739746,
15,47,1.0496629476547241,
16,49,,0.9818084836006165
16,50,1.0447227954864502,
17,53,1.0644570589065552,
18,56,0.9577884674072266,
19,59,1.0296131372451782,
20,62,1.0481995344161987,
21,65,1.0232123136520386,
22,68,1.019234538078308,
23,71,0.9243252873420715,
24,74,0.944009006023407,
25,77,0.9140040278434753,
26,80,0.9104951024055481,
27,83,0.862227201461792,
28,86,0.8950381278991699,
29,89,0.8794484734535217,
30,92,0.7912492752075195,
31,95,0.7767686247825623,
32,98,0.7987791895866394,
33,99,,1.004764199256897
33,101,0.8558461666107178,
34,104,0.7883212566375732,
35,107,0.7825614809989929,
36,110,0.7831071019172668,
37,113,0.7093038558959961,
38,116,0.7826349139213562,
39,119,0.7366368174552917,
40,122,0.8075713515281677,
41,125,0.7920395731925964,
42,128,0.7692237496376038,
43,131,0.7195753455162048,
44,134,0.794549286365509,
45,137,0.7078141570091248,
46,140,0.7520844340324402,
47,143,0.7338163256645203,
48,146,0.638387143611908,
49,149,,0.761876106262207
49,149,0.7397701740264893,
50,152,0.7883252501487732,
51,155,0.7006869912147522,
52,158,0.6850975155830383,
53,161,0.6557843089103699,
54,164,0.7579105496406555,
55,167,0.7003862857818604,
56,170,0.7915344834327698,
57,173,0.6600852012634277,
58,176,0.6870055198669434,
59,179,0.7408862113952637,
60,182,0.6832637786865234,
61,185,0.6979968547821045,
62,188,0.6619954705238342,
63,191,0.7148587107658386,
64,194,0.7350230813026428,
65,197,0.719463050365448,
66,199,,0.6965537071228027
66,200,0.6483140587806702,
67,203,0.7235884666442871,
68,206,0.6790782809257507,
69,209,0.729914128780365,
70,212,0.7007363438606262,
71,215,0.6715919375419617,
72,218,0.7062506675720215,
73,221,0.7013505101203918,
74,224,0.7362726330757141,
75,227,0.7270114421844482,
76,230,0.6677803993225098,
77,233,0.7042049765586853,
78,236,0.6678171157836914,
79,239,0.7084188461303711,
80,242,0.6781770586967468,
81,245,0.6890910267829895,
82,248,0.6686884760856628,
83,249,,0.7930046319961548
83,251,0.7034346461296082,
84,254,0.6651690602302551,
85,257,0.6896122097969055,
86,260,0.6708816885948181,
87,263,0.6467519402503967,
88,266,0.6731810569763184,
89,269,0.6786350607872009,
90,272,0.60198974609375,
91,275,0.6865212917327881,
92,278,0.6628686785697937,
93,281,0.6668798327445984,
94,284,0.688103973865509,
95,287,0.6579066514968872,
96,290,0.6540512442588806,
97,293,0.630358874797821,
98,296,0.63493412733078,
99,299,,0.614324688911438
99,299,0.6448243260383606,
100,302,0.6881110668182373,
101,305,0.6539283990859985,
102,308,0.6467339396476746,
103,311,0.6508277654647827,
104,314,0.6048291325569153,
105,317,0.6202794909477234,
106,320,0.6285510659217834,
107,323,0.6593514084815979,
108,326,0.6281654238700867,
109,329,0.6223440766334534,
110,332,0.6003981828689575,
111,335,0.7043766975402832,
112,338,0.5968779921531677,
113,341,0.6699320673942566,
114,344,0.6313711404800415,
115,347,0.5697664618492126,
116,349,,0.6303338408470154
116,350,0.5931930541992188,
117,353,0.5734171271324158,
118,356,0.5899568200111389,
119,359,0.6346378922462463,
120,362,0.6694941520690918,
121,365,0.6350476145744324,
122,368,0.6044038534164429,
123,371,0.6258368492126465,
124,374,0.6217489838600159,
125,377,0.5993362069129944,
126,380,0.611117422580719,
127,383,0.6302651762962341,
128,386,0.612155020236969,
129,389,0.6336142420768738,
130,392,0.6577460169792175,
131,395,0.5700075030326843,
132,398,0.5961390733718872,
133,399,,0.5720676183700562
133,401,0.5994375348091125,
134,404,0.6162476539611816,
135,407,0.6258500218391418,
136,410,0.6244348883628845,
137,413,0.586830735206604,
138,416,0.6193161010742188,
139,419,0.6203853487968445,
140,422,0.594978392124176,
141,425,0.6341829299926758,
142,428,0.6119737029075623,
143,431,0.6245852708816528,
144,434,0.5790084004402161,
145,437,0.5716293454170227,
146,440,0.541568398475647,
147,443,0.5818042159080505,
148,446,0.5878832936286926,
149,449,,0.5857539176940918
149,449,0.5628792643547058,
150,452,0.6252560615539551,
151,455,0.517085075378418,
152,458,0.5487627387046814,
153,461,0.5749613642692566,
154,464,0.6181681156158447,
155,467,0.5752780437469482,
156,470,0.5219682455062866,
157,473,0.5659916400909424,
158,476,0.5973133444786072,
159,479,0.6041470766067505,
160,482,0.6125527024269104,
161,485,0.6180735230445862,
162,488,0.6052865386009216,
163,491,0.5791453719139099,
164,494,0.5957362055778503,
165,497,0.5488408207893372,
166,499,,0.46839481592178345
166,500,0.5967684984207153,
167,503,0.5595797300338745,
168,506,0.5620293021202087,
169,509,0.5408503413200378,
170,512,0.6083992719650269,
171,515,0.5444037914276123,
172,518,0.5021697282791138,
173,521,0.5721128582954407,
174,524,0.6206107139587402,
175,527,0.5778611898422241,
176,530,0.5716779232025146,
177,533,0.5525705218315125,
178,536,0.6016777157783508,
179,539,0.5608134865760803,
180,542,0.5995871424674988,
181,545,0.5812937617301941,
182,548,0.5678926706314087,
183,549,,0.5200947523117065
183,551,0.4903065264225006,
184,554,0.586464524269104,
185,557,0.5937999486923218,
186,560,0.5619747042655945,
187,563,0.5954893827438354,
188,566,0.5508130192756653,
189,569,0.605584442615509,
190,572,0.5667902827262878,
191,575,0.5849829316139221,
192,578,0.5833534002304077,
193,581,0.5218133330345154,
194,584,0.5383766293525696,
195,587,0.571797251701355,
196,590,0.5751714110374451,
197,593,0.5762537121772766,
198,596,0.5776488780975342,
199,599,,0.5043734312057495
199,599,0.5830926299095154,
200,602,0.5617231726646423,
201,605,0.5541995167732239,
202,608,0.5276523232460022,
203,611,0.5384169220924377,
204,614,0.5678636431694031,
205,617,0.5276291966438293,
206,620,0.5488269329071045,
207,623,0.49180302023887634,
208,626,0.5964890122413635,
209,629,0.5886614322662354,
210,632,0.5795796513557434,
211,635,0.601481020450592,
212,638,0.5043562054634094,
213,641,0.5830994844436646,
214,644,0.5422372221946716,
215,647,0.5532116293907166,
216,649,,0.30412745475769043
216,650,0.5333831906318665,
217,653,0.5314742922782898,
218,656,0.580936849117279,
219,659,0.5963358879089355,
220,662,0.5646792650222778,
221,665,0.5238024592399597,
222,668,0.5366025567054749,
223,671,0.568470299243927,
224,674,0.5404346585273743,
225,677,0.5204470753669739,
226,680,0.49741610884666443,
227,683,0.5147702097892761,
228,686,0.5681707262992859,
229,689,0.5883631706237793,
230,692,0.5491628050804138,
231,695,0.5844056010246277,
232,698,0.587971568107605,
233,699,,0.5239306688308716
233,701,0.561495304107666,
234,704,0.5391034483909607,
235,707,0.5448384284973145,
236,710,0.5800802111625671,
237,713,0.5609357953071594,
238,716,0.5356103777885437,
239,719,0.603140115737915,
240,722,0.5044918060302734,
241,725,0.5428445935249329,
242,728,0.5709871649742126,
243,731,0.5299254059791565,
244,734,0.5968680381774902,
245,737,0.5005086064338684,
246,740,0.531829833984375,
247,743,0.5470303893089294,
248,746,0.5243020057678223,
249,749,,0.4514502286911011
249,749,0.5572745203971863,
250,752,0.5556695461273193,
251,755,0.5327561497688293,
252,758,0.5574905872344971,
253,761,0.5370936393737793,
254,764,0.5347954630851746,
255,767,0.5717183947563171,
256,770,0.558219313621521,
257,773,0.5949378609657288,
258,776,0.5522320866584778,
259,779,0.5325290560722351,
260,782,0.5386400818824768,
261,785,0.604191243648529,
262,788,0.6310351490974426,
263,791,0.5772914290428162,
264,794,0.5570760369300842,
265,797,0.5306654572486877,
266,799,,0.5243549942970276
266,800,0.5647364258766174,
267,803,0.5041781067848206,
268,806,0.5228726863861084,
269,809,0.5423044562339783,
270,812,0.6122025847434998,
271,815,0.5686425566673279,
272,818,0.5683180689811707,
273,821,0.5518786907196045,
274,824,0.5423223376274109,
275,827,0.6275978088378906,
276,830,0.6337555050849915,
277,833,0.5380292534828186,
278,836,0.5686476826667786,
279,839,0.4765786826610565,
280,842,0.5751042366027832,
281,845,0.5262740850448608,
282,848,0.5658833384513855,
283,849,,0.6804146766662598
283,851,0.5831394195556641,
284,854,0.6164419651031494,
285,857,0.5578176975250244,
286,860,0.5583443641662598,
287,863,0.5347874164581299,
288,866,0.5850074291229248,
289,869,0.5407971739768982,
290,872,0.5040463805198669,
291,875,0.5829222798347473,
292,878,0.5656400322914124,
293,881,0.5400094985961914,
294,884,0.4857959747314453,
295,887,0.5788374543190002,
296,890,0.5760968327522278,
297,893,0.553151547908783,
298,896,0.511950671672821,
299,899,,0.471904456615448
299,899,0.5728600025177002,
300,902,0.5675157904624939,
301,905,0.5639623999595642,
302,908,0.49675336480140686,
303,911,0.5382888913154602,
304,914,0.5902242064476013,
305,917,0.5408439636230469,
306,920,0.5677205920219421,
307,923,0.5834014415740967,
308,926,0.630905032157898,
309,929,0.5842968225479126,
310,932,0.6231424808502197,
311,935,0.5554022192955017,
312,938,0.6009157299995422,
313,941,0.5208658576011658,
314,944,0.591174840927124,
315,947,0.5624794363975525,
316,949,,0.5579139590263367
316,950,0.5653373003005981,
317,953,0.5134975910186768,
318,956,0.5577813982963562,
319,959,0.5777044296264648,
320,962,0.5434999465942383,
321,965,0.5679840445518494,
322,968,0.5944773554801941,
323,971,0.5519998669624329,
324,974,0.5586525797843933,
325,977,0.4470161199569702,
326,980,0.5226734280586243,
327,983,0.5102392435073853,
328,986,0.5690312385559082,
329,989,0.5198732614517212,
330,992,0.5446330904960632,
331,995,0.5023267865180969,
332,998,0.5396051406860352,
333,999,,0.5829862952232361
333,999,0.5829862952232361,
