epoch,step,train_loss_epoch,train_loss_step
0,1,17.403528213500977,
1,3,17.5225830078125,
2,5,17.568044662475586,
3,7,3.156938076019287,
4,9,17.414430618286133,
5,11,1.408841609954834,
6,13,15.619856834411621,
7,15,1.3947138786315918,
8,17,17.345840454101562,
9,19,1.2152814865112305,
10,21,15.582712173461914,
11,23,15.603089332580566,
12,25,15.734063148498535,
13,27,1.2322865724563599,
14,29,3.0734150409698486,
15,31,1.305485486984253,
16,33,1.3180227279663086,
17,35,15.692831993103027,
18,37,17.16843605041504,
19,39,1.1873669624328613,
20,41,3.0187904834747314,
21,43,17.323949813842773,
22,45,15.524774551391602,
23,47,1.2709317207336426,
24,49,,1.1796834468841553
24,49,15.485307693481445,
25,51,1.206587314605713,
26,53,2.7701122760772705,
27,55,1.1990097761154175,
28,57,15.576663970947266,
29,59,2.9806079864501953,
30,61,17.28341293334961,
31,63,15.61928939819336,
32,65,2.967655897140503,
33,67,2.831498622894287,
34,69,3.0481526851654053,
35,71,3.0065598487854004,
36,73,1.0721471309661865,
37,75,1.0043386220932007,
38,77,0.9966961145401001,
39,79,1.2830626964569092,
40,81,1.2823002338409424,
41,83,1.2499675750732422,
42,85,15.356407165527344,
43,87,2.8723554611206055,
44,89,17.24114990234375,
45,91,17.319839477539062,
46,93,17.448850631713867,
47,95,15.725305557250977,
48,97,1.2860113382339478,
49,99,,29.826141357421875
49,99,17.204999923706055,
50,101,2.796046257019043,
51,103,15.717124938964844,
52,105,17.103851318359375,
53,107,2.886748790740967,
54,109,17.114988327026367,
55,111,2.9070630073547363,
56,113,17.151512145996094,
57,115,1.1266121864318848,
58,117,16.767784118652344,
59,119,15.253164291381836,
60,121,2.859421730041504,
61,123,1.1595864295959473,
62,125,15.274055480957031,
63,127,1.1022635698318481,
64,129,15.48790454864502,
65,131,2.678719997406006,
66,133,15.370773315429688,
67,135,1.109405755996704,
68,137,17.430143356323242,
69,139,17.15765380859375,
70,141,15.58767032623291,
71,143,2.816765785217285,
72,145,1.2448819875717163,
73,147,15.588873863220215,
74,149,,4.65605354309082
74,149,2.7756779193878174,
75,151,2.9216434955596924,
76,153,16.88875961303711,
77,155,17.193218231201172,
78,157,15.274872779846191,
79,159,15.613188743591309,
80,161,2.968191146850586,
81,163,2.6954362392425537,
82,165,1.1629183292388916,
83,167,17.278982162475586,
84,169,2.8456411361694336,
85,171,15.116724967956543,
86,173,2.7452220916748047,
87,175,16.991439819335938,
88,177,2.852351665496826,
89,179,17.552825927734375,
90,181,17.363370895385742,
91,183,1.0676639080047607,
92,185,15.284688949584961,
93,187,17.299022674560547,
94,189,15.295392036437988,
95,191,2.6837611198425293,
96,193,17.237398147583008,
97,195,2.88452410697937,
98,197,16.81720733642578,
99,199,,1.1465731859207153
99,199,1.145366907119751,
100,201,17.126741409301758,
101,203,2.7854461669921875,
102,205,1.2144715785980225,
103,207,15.548145294189453,
104,209,2.9092257022857666,
105,211,15.671314239501953,
106,213,1.2341960668563843,
107,215,2.8860342502593994,
108,217,17.050230026245117,
109,219,15.283050537109375,
110,221,2.743788719177246,
111,223,1.012369990348816,
112,225,17.298992156982422,
113,227,1.210161805152893,
114,229,1.090350866317749,
115,231,15.598649024963379,
116,233,2.744478702545166,
117,235,15.337799072265625,
118,237,16.911821365356445,
119,239,1.1899652481079102,
120,241,15.496927261352539,
121,243,17.237083435058594,
122,245,1.1430096626281738,
123,247,17.176156997680664,
124,249,,0.834517240524292
124,249,2.607229709625244,
125,251,17.079038619995117,
126,253,1.0059385299682617,
127,255,16.8818302154541,
128,257,2.667449712753296,
129,259,1.2314186096191406,
130,261,17.13420867919922,
131,263,2.7342920303344727,
132,265,17.084491729736328,
133,267,2.8428144454956055,
134,269,16.758106231689453,
135,271,17.771055221557617,
136,273,1.0302684307098389,
