number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
37,0.3361945127372575,2025-12-23 01:51:25.345866,2025-12-23 01:51:52.050018,0 days 00:00:26.704152,0.00011947813841552474,COMPLETE
38,0.3831056551783683,2025-12-23 01:51:52.061640,2025-12-23 01:52:18.814284,0 days 00:00:26.752644,0.00021078924756928624,COMPLETE
39,0.36298717407531844,2025-12-23 01:52:18.825796,2025-12-23 01:52:45.664798,0 days 00:00:26.839002,0.0007220497208826457,COMPLETE
40,0.4027395071134356,2025-12-23 01:52:45.676426,2025-12-23 01:53:12.374688,0 days 00:00:26.698262,0.00039796520336972803,COMPLETE
41,0.32560913508540096,2025-12-23 01:53:12.385728,2025-12-23 01:53:39.141646,0 days 00:00:26.755918,5.060668291014843e-05,COMPLETE
42,0.32556345759383043,2025-12-23 01:53:39.153745,2025-12-23 01:54:06.069573,0 days 00:00:26.915828,4.782776455211801e-05,COMPLETE
43,0.3268899640743185,2025-12-23 01:54:06.081205,2025-12-23 01:54:32.866838,0 days 00:00:26.785633,3.733191422805812e-05,COMPLETE
44,0.3355574295193201,2025-12-23 01:54:32.879209,2025-12-23 01:54:59.599544,0 days 00:00:26.720335,2.3032646938706953e-05,COMPLETE
45,0.3264076479602993,2025-12-23 01:54:59.610624,2025-12-23 01:55:26.378062,0 days 00:00:26.767438,6.443753079189615e-05,COMPLETE
46,0.3353903982334199,2025-12-23 01:55:26.389745,2025-12-23 01:55:53.210019,0 days 00:00:26.820274,0.00010833067673170484,COMPLETE
47,0.3370115233943628,2025-12-23 01:55:53.221113,2025-12-23 01:56:20.010390,0 days 00:00:26.789277,1.6176503729330003e-05,COMPLETE
48,0.3300080385518722,2025-12-23 01:56:20.021792,2025-12-23 01:56:46.793659,0 days 00:00:26.771867,3.0781540479049396e-05,COMPLETE
49,0.3260889705487457,2025-12-23 01:56:46.804720,2025-12-23 01:57:13.686668,0 days 00:00:26.881948,5.563824140592574e-05,COMPLETE
50,0.32559880379341954,2025-12-23 01:57:13.702758,2025-12-23 01:57:40.470567,0 days 00:00:26.767809,5.113288181791153e-05,COMPLETE
51,0.325552673589045,2025-12-23 01:57:40.482378,2025-12-23 01:58:07.177888,0 days 00:00:26.695510,4.8618226931627265e-05,COMPLETE
52,0.32669683103690866,2025-12-23 01:58:07.193920,2025-12-23 01:58:33.954630,0 days 00:00:26.760710,4.5407320463455035e-05,COMPLETE
53,0.3268737812728784,2025-12-23 01:58:33.965799,2025-12-23 01:59:00.835109,0 days 00:00:26.869310,3.7655765272377346e-05,COMPLETE
54,0.3298726732104924,2025-12-23 01:59:00.847074,2025-12-23 01:59:27.585407,0 days 00:00:26.738333,8.094576564479104e-05,COMPLETE
55,0.32515039829983006,2025-12-23 01:59:27.597832,2025-12-23 01:59:54.379132,0 days 00:00:26.781300,5.420551925927514e-05,COMPLETE
56,0.3267663868540498,2025-12-23 01:59:54.390223,2025-12-23 02:00:21.242511,0 days 00:00:26.852288,7.081647372620924e-05,COMPLETE
57,0.3313220076401925,2025-12-23 02:00:21.253784,2025-12-23 02:00:48.053623,0 days 00:00:26.799839,2.8164744429498456e-05,COMPLETE
58,0.32845515622483257,2025-12-23 02:00:48.065558,2025-12-23 02:01:14.878288,0 days 00:00:26.812730,3.408798655017146e-05,COMPLETE
59,0.335693660190159,2025-12-23 02:01:14.890117,2025-12-23 02:01:41.672271,0 days 00:00:26.782154,9.862794979766927e-05,COMPLETE
60,0.3270778995508902,2025-12-23 02:01:41.686089,2025-12-23 02:02:08.514037,0 days 00:00:26.827948,5.770420176587667e-05,COMPLETE
61,0.325084263393164,2025-12-23 02:02:08.525867,2025-12-23 02:02:35.313150,0 days 00:00:26.787283,5.177438161223891e-05,COMPLETE
62,0.3272474254744298,2025-12-23 02:02:35.324749,2025-12-23 02:03:02.081524,0 days 00:00:26.756775,4.0972127413566975e-05,COMPLETE
63,0.3263746872110847,2025-12-23 02:03:02.092902,2025-12-23 02:03:28.950971,0 days 00:00:26.858069,6.301471869909357e-05,COMPLETE
64,0.32536121455033823,2025-12-23 02:03:28.962572,2025-12-23 02:03:55.700190,0 days 00:00:26.737618,4.9035369140023345e-05,COMPLETE
65,0.32774279212372076,2025-12-23 02:03:55.711372,2025-12-23 02:04:22.419973,0 days 00:00:26.708601,3.5741577064198417e-05,COMPLETE
66,0.327700640924831,2025-12-23 02:04:22.431474,2025-12-23 02:04:49.167836,0 days 00:00:26.736362,7.40320902361252e-05,COMPLETE
67,0.3252869032270063,2025-12-23 02:04:49.178924,2025-12-23 02:05:15.960006,0 days 00:00:26.781082,5.43760555179179e-05,COMPLETE
68,0.33578655383734307,2025-12-23 02:05:15.972129,2025-12-23 02:05:42.668032,0 days 00:00:26.695903,2.191480529180867e-05,COMPLETE
69,0.3510553961184982,2025-12-23 02:05:42.679244,2025-12-23 02:06:09.505730,0 days 00:00:26.826486,0.00014864574633706651,COMPLETE
70,0.33029171093811815,2025-12-23 02:06:09.517106,2025-12-23 02:06:36.395093,0 days 00:00:26.877987,8.606350840080207e-05,COMPLETE
71,0.325085814123973,2025-12-23 02:06:36.406701,2025-12-23 02:07:03.251326,0 days 00:00:26.844625,5.270071136138209e-05,COMPLETE
72,0.327209899239559,2025-12-23 02:07:03.263057,2025-12-23 02:07:30.037102,0 days 00:00:26.774045,5.891612361919098e-05,COMPLETE
73,0.32720343173856703,2025-12-23 02:07:30.049061,2025-12-23 02:07:56.876902,0 days 00:00:26.827841,4.055595075656908e-05,COMPLETE
74,0.32673975053947024,2025-12-23 02:07:56.888455,2025-12-23 02:08:23.710279,0 days 00:00:26.821824,6.76965041591038e-05,COMPLETE
75,0.33077849586044017,2025-12-23 02:08:23.721968,2025-12-23 02:08:50.532546,0 days 00:00:26.810578,2.9107735664138603e-05,COMPLETE
76,0.32515492452643713,2025-12-23 02:08:50.544685,2025-12-23 02:09:17.257330,0 days 00:00:26.712645,5.2896282877814986e-05,COMPLETE
77,0.32613235125172085,2025-12-23 02:09:17.276676,2025-12-23 02:09:44.009440,0 days 00:00:26.732764,5.525795628847479e-05,COMPLETE
78,0.3272908903784843,2025-12-23 02:09:44.039616,2025-12-23 02:10:11.071542,0 days 00:00:27.031926,4.27160724423014e-05,COMPLETE
79,0.3337775552074249,2025-12-23 02:10:11.083371,2025-12-23 02:10:38.085746,0 days 00:00:27.002375,9.137082198407061e-05,COMPLETE
80,0.3295710202111139,2025-12-23 02:10:38.097242,2025-12-23 02:11:04.991180,0 days 00:00:26.893938,7.713908630969681e-05,COMPLETE
81,0.3269769122641563,2025-12-23 02:11:05.002500,2025-12-23 02:11:31.993181,0 days 00:00:26.990681,4.675920831289795e-05,COMPLETE
82,0.32510730491345996,2025-12-23 02:11:32.004706,2025-12-23 02:11:58.792019,0 days 00:00:26.787313,5.41343480644965e-05,COMPLETE
83,0.32535777765968243,2025-12-23 02:11:58.803327,2025-12-23 02:12:25.643070,0 days 00:00:26.839743,5.300309797849596e-05,COMPLETE
84,0.32535212399221264,2025-12-23 02:12:25.654583,2025-12-23 02:12:52.466927,0 days 00:00:26.812344,5.325768449325117e-05,COMPLETE
85,0.3278675329081407,2025-12-23 02:12:52.480416,2025-12-23 02:13:19.332584,0 days 00:00:26.852168,3.525405405714741e-05,COMPLETE
86,0.32649332361430733,2025-12-23 02:13:19.348544,2025-12-23 02:13:46.254537,0 days 00:00:26.905993,6.390507417890181e-05,COMPLETE
87,0.33620014340846843,2025-12-23 02:13:46.266396,2025-12-23 02:14:12.957909,0 days 00:00:26.691513,0.00011776042206276905,COMPLETE
88,0.3295249571075223,2025-12-23 02:14:12.969464,2025-12-23 02:14:39.791613,0 days 00:00:26.822149,3.199116791759512e-05,COMPLETE
89,0.3271484861635694,2025-12-23 02:14:39.803602,2025-12-23 02:15:06.553795,0 days 00:00:26.750193,3.986430759543549e-05,COMPLETE
90,0.3271949061610329,2025-12-23 02:15:06.565797,2025-12-23 02:15:33.346339,0 days 00:00:26.780542,5.8797531126884396e-05,COMPLETE
91,0.326706799825195,2025-12-23 02:15:33.357876,2025-12-23 02:16:00.097934,0 days 00:00:26.740058,5.668885036431077e-05,COMPLETE
92,0.32517643713094213,2025-12-23 02:16:00.109842,2025-12-23 02:16:26.919733,0 days 00:00:26.809891,5.201851384849237e-05,COMPLETE
93,0.326775587854367,2025-12-23 02:16:26.931326,2025-12-23 02:16:53.695873,0 days 00:00:26.764547,7.107603041649484e-05,COMPLETE
94,0.3260362285660978,2025-12-23 02:16:53.707183,2025-12-23 02:17:20.471462,0 days 00:00:26.764279,4.346904262604764e-05,COMPLETE
95,0.32510724736291097,2025-12-23 02:17:20.486078,2025-12-23 02:17:47.289879,0 days 00:00:26.803801,5.273375644570229e-05,COMPLETE
96,0.32641669561742165,2025-12-23 02:17:47.301277,2025-12-23 02:18:14.131326,0 days 00:00:26.830049,6.428001448338403e-05,COMPLETE
97,0.3251086771409539,2025-12-23 02:18:14.142513,2025-12-23 02:18:41.115878,0 days 00:00:26.973365,5.216672075222958e-05,COMPLETE
98,0.32954807105631745,2025-12-23 02:18:41.132725,2025-12-23 02:19:08.213864,0 days 00:00:27.081139,8.078320352814233e-05,COMPLETE
99,0.3284603828976105,2025-12-23 02:19:08.225703,2025-12-23 02:19:35.375175,0 days 00:00:27.149472,7.065884258527218e-05,COMPLETE
100,0.3270829830571455,2025-12-23 02:19:35.386676,2025-12-23 02:20:02.472283,0 days 00:00:27.085607,3.920984927756263e-05,COMPLETE
101,0.32534387297002587,2025-12-23 02:20:02.484179,2025-12-23 02:20:29.563927,0 days 00:00:27.079748,5.303400809032527e-05,COMPLETE
