number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.16877025495599363,2025-12-23 14:53:32.563781,2025-12-23 14:54:01.963709,0 days 00:00:29.399928,5.6115164153345e-05,COMPLETE
1,0.24098127104774195,2025-12-23 14:54:01.983001,2025-12-23 14:54:31.196129,0 days 00:00:29.213128,0.0007969454818643932,COMPLETE
2,0.1808831120862867,2025-12-23 14:54:31.206491,2025-12-23 14:55:00.464606,0 days 00:00:29.258115,0.000291063591313307,COMPLETE
3,0.193672616720165,2025-12-23 14:55:00.475732,2025-12-23 14:55:29.512838,0 days 00:00:29.037106,0.00015751320499779721,COMPLETE
4,0.16331310570095398,2025-12-23 14:55:29.523320,2025-12-23 14:55:58.612378,0 days 00:00:29.089058,2.0513382630874486e-05,COMPLETE
5,0.1633122921844558,2025-12-23 14:55:58.623665,2025-12-23 14:56:28.001331,0 days 00:00:29.377666,2.0511104188433963e-05,COMPLETE
6,0.16107335135057038,2025-12-23 14:56:28.017907,2025-12-23 14:56:57.469517,0 days 00:00:29.451610,1.3066739238053272e-05,COMPLETE
7,0.19983527346079996,2025-12-23 14:56:57.481288,2025-12-23 14:57:26.569753,0 days 00:00:29.088465,0.0005399484409787432,COMPLETE
8,0.19272126829881864,2025-12-23 14:57:26.581731,2025-12-23 14:57:55.602900,0 days 00:00:29.021169,0.00015930522616241006,COMPLETE
9,0.18796175696640355,2025-12-23 14:57:55.614476,2025-12-23 14:58:24.651370,0 days 00:00:29.036894,0.0002607024758370766,COMPLETE
10,0.16030899721730021,2025-12-23 14:58:24.663046,2025-12-23 14:58:53.671605,0 days 00:00:29.008559,1.0991587445851024e-05,COMPLETE
11,0.16028560513644188,2025-12-23 14:58:53.684753,2025-12-23 14:59:22.760757,0 days 00:00:29.076004,1.0085513452139397e-05,COMPLETE
12,0.1645100081827737,2025-12-23 14:59:22.773786,2025-12-23 14:59:51.788348,0 days 00:00:29.014562,4.5027954628441e-05,COMPLETE
13,0.1602685650708043,2025-12-23 14:59:51.800409,2025-12-23 15:00:20.836377,0 days 00:00:29.035968,1.0243674778871204e-05,COMPLETE
14,0.16431749400259368,2025-12-23 15:00:20.849591,2025-12-23 15:00:49.933801,0 days 00:00:29.084210,4.319063967617346e-05,COMPLETE
15,0.16364145515391143,2025-12-23 15:00:49.944475,2025-12-23 15:01:19.009560,0 days 00:00:29.065085,2.226390089590187e-05,COMPLETE
16,0.16026489516334164,2025-12-23 15:01:19.021686,2025-12-23 15:01:48.072916,0 days 00:00:29.051230,1.0374811140004835e-05,COMPLETE
