number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_learning_rate,params_n_layers,state
36,0.29780169526760486,2026-01-17 12:44:15.132552,2026-01-17 12:44:23.504702,0 days 00:00:08.372150,0.3097273120080341,32,4.1064867581824e-05,2,COMPLETE
37,0.46087904258162327,2026-01-17 12:44:23.516203,2026-01-17 12:44:31.600985,0 days 00:00:08.084782,0.12460261712821155,16,6.458357486192491e-05,2,COMPLETE
38,0.23716457044466074,2026-01-17 12:44:31.612868,2026-01-17 12:44:39.814983,0 days 00:00:08.202115,0.28959209696975163,32,1.8714467267577117e-05,2,COMPLETE
39,0.4778565854663139,2026-01-17 12:44:39.826525,2026-01-17 12:44:48.625776,0 days 00:00:08.799251,0.22885437505718148,32,0.00013220916822802013,3,COMPLETE
40,0.24696982355689284,2026-01-17 12:44:48.636581,2026-01-17 12:44:56.628489,0 days 00:00:07.991908,,16,1.384424272049468e-05,1,COMPLETE
41,0.22060205319450255,2026-01-17 12:44:56.639903,2026-01-17 12:45:04.917285,0 days 00:00:08.277382,0.35620425928780813,32,1.0149099624081798e-05,2,COMPLETE
42,0.2205881063897039,2026-01-17 12:45:04.929397,2026-01-17 12:45:13.397673,0 days 00:00:08.468276,0.3447023317445143,32,1.014196411577172e-05,2,COMPLETE
43,0.226128021505048,2026-01-17 12:45:13.408807,2026-01-17 12:45:21.747638,0 days 00:00:08.338831,0.3510117965121292,32,1.3121825895415107e-05,2,COMPLETE
44,0.468631000750915,2026-01-17 12:45:21.758353,2026-01-17 12:45:30.032664,0 days 00:00:08.274311,0.3152392025176218,32,0.0008524827212533644,2,COMPLETE
45,0.24398740623514859,2026-01-17 12:45:30.043814,2026-01-17 12:45:38.161805,0 days 00:00:08.117991,0.2759669061386944,32,2.1867763897668987e-05,2,COMPLETE
46,0.3938790970274506,2026-01-17 12:45:38.173994,2026-01-17 12:45:46.469013,0 days 00:00:08.295019,0.35460338630395066,96,1.6617226957124254e-05,2,COMPLETE
47,0.31151544122656843,2026-01-17 12:45:46.480078,2026-01-17 12:45:54.769546,0 days 00:00:08.289468,0.32027450155992543,64,1.0059751002814229e-05,2,COMPLETE
48,0.22534677811982035,2026-01-17 12:45:54.781448,2026-01-17 12:46:03.242076,0 days 00:00:08.460628,0.2783925840282404,32,1.2705345923293031e-05,2,COMPLETE
49,0.3334057290547015,2026-01-17 12:46:03.254996,2026-01-17 12:46:11.202933,0 days 00:00:07.947937,,32,0.00028922391550510794,1,COMPLETE
50,0.36544784111134576,2026-01-17 12:46:11.214442,2026-01-17 12:46:20.042358,0 days 00:00:08.827916,0.3551177719523986,128,2.4256761797830214e-05,2,COMPLETE
51,0.2245418907503995,2026-01-17 12:46:20.053363,2026-01-17 12:46:28.307327,0 days 00:00:08.253964,0.39800551134842216,32,1.2285023853884219e-05,2,COMPLETE
