number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_learning_rate,params_n_layers,state
0,0.14404564169845227,2026-01-02 23:18:40.887001,2026-01-02 23:18:50.730918,0 days 00:00:09.843917,0.12323344486727979,32,5.6115164153345e-05,3,COMPLETE
1,0.25787331528737745,2026-01-02 23:18:50.750783,2026-01-02 23:18:59.848453,0 days 00:00:09.097670,0.18493564427131048,96,0.0005399484409787432,2,COMPLETE
2,0.11767283769412154,2026-01-02 23:18:59.862592,2026-01-02 23:19:08.686413,0 days 00:00:08.823821,0.34474115788895177,64,2.3102018878452926e-05,1,COMPLETE
3,0.11588444317065102,2026-01-02 23:19:08.701617,2026-01-02 23:19:17.475999,0 days 00:00:08.774382,0.3056937753654446,96,1.9010245319870364e-05,1,COMPLETE
4,0.1177026414917228,2026-01-02 23:19:17.492245,2026-01-02 23:19:26.321290,0 days 00:00:08.829045,0.4862528132298237,128,0.00015304852121831474,1,COMPLETE
5,0.1619584544665176,2026-01-02 23:19:26.335141,2026-01-02 23:19:35.106670,0 days 00:00:08.771529,0.29807076404450805,64,0.0004138040112561013,1,COMPLETE
6,0.11842797959640734,2026-01-02 23:19:35.118852,2026-01-02 23:19:44.758385,0 days 00:00:09.639533,0.31868411173731187,64,1.1715937392307055e-05,3,COMPLETE
7,0.13724016817751725,2026-01-02 23:19:44.771409,2026-01-02 23:19:54.299079,0 days 00:00:09.527670,0.4687496940092467,64,2.3426581058204037e-05,3,COMPLETE
8,0.11097819555499583,2026-01-02 23:19:54.312454,2026-01-02 23:20:03.086785,0 days 00:00:08.774331,0.43149500366077176,96,1.5030900645056805e-05,1,COMPLETE
9,0.11513306316188278,2026-01-02 23:20:03.101305,2026-01-02 23:20:11.983430,0 days 00:00:08.882125,0.4947547746402069,96,5.170191786366994e-05,1,COMPLETE
10,0.16056233310540566,2026-01-02 23:20:11.997539,2026-01-02 23:20:21.514480,0 days 00:00:09.516941,0.4025532588131681,128,0.00010649438604541333,2,COMPLETE
11,0.13754701449209872,2026-01-02 23:20:21.531189,2026-01-02 23:20:30.600092,0 days 00:00:09.068903,0.4237162297513345,96,4.6050571989597696e-05,2,COMPLETE
12,0.11544545871792365,2026-01-02 23:20:30.612541,2026-01-02 23:20:39.257167,0 days 00:00:08.644626,0.4037647330895492,96,4.999280452433678e-05,1,COMPLETE
