municipio,ano,target,cdd_5,cdd_9,prcptot_3,precomediocafe,tnn_5,tnn_6,tnn_7,txx_11,txx_9,wd30_10,wd30_11,wd30_9,cdd_6,tnn_8,prcptot_2,prcptot_11,wd30_2,wd30_3,txx_10,altitude_Terras Baixas,altitude_Terras de Média Altitude,altitude_Terras Altas,altitude_Terras Muito Altas
Agua_Boa,2017,1.10828025477707,13.0,25.0,201.75,155.69750000000002,12.61,9.93,10.87,33.09,34.8,19.0,9.0,14.0,24.0,11.74,199.62,132.88,4.0,15.0,37.06,False,True,False,False
Agua_Boa,2018,1.2,11.0,29.0,169.75,139.60083333333333,12.18,12.17,10.66,32.62,30.94,20.0,11.0,1.0,30.0,9.8,226.81,200.88,11.0,16.0,36.14,False,True,False,False
Agua_Boa,2019,1.092380952380952,22.0,16.0,172.94,109.61,15.11,12.09,11.49,32.85,34.47,17.0,6.0,14.0,30.0,13.2,262.62,279.25,25.0,22.0,35.8,False,True,False,False
Agua_Boa,2020,1.33,7.0,21.0,54.25,110.44833333333334,9.3,11.26,8.61,37.73,35.14,25.0,17.0,17.0,26.0,8.5,215.38,125.25,18.0,4.0,35.58,False,True,False,False
Agua_Boa,2021,0.6171428571428571,22.0,28.0,113.25,114.73333333333332,10.12,11.2,11.39,32.76,36.45,16.0,12.0,11.0,28.0,8.25,154.88,34.44,7.0,15.0,38.67,False,True,False,False
Aguas_Vermelhas,2012,1.8,12.0,11.0,186.94,255.14083333333332,9.52,8.43,7.18,30.79,35.46,13.0,1.0,7.0,20.0,4.95,171.69,108.31,16.0,26.0,33.77,False,False,True,False
Aguas_Vermelhas,2013,1.501298701298701,29.0,15.0,205.81,172.1825,10.89,9.79,5.68,37.6,36.16,18.0,7.0,12.0,15.0,7.18,330.62,254.12,16.0,22.0,36.8,False,False,True,False
Aguas_Vermelhas,2014,1.5,14.0,15.0,258.25,137.595,7.2,7.03,6.03,34.32,36.12,11.0,8.0,8.0,23.0,5.63,213.12,222.5,7.0,9.0,36.62,False,False,True,False
Aguas_Vermelhas,2015,1.2,9.0,7.0,338.44,168.48333333333332,10.59,7.82,7.03,32.88,35.73,12.0,10.0,12.0,26.0,6.04,231.19,260.44,13.0,18.0,35.43,False,False,True,False
Aguas_Vermelhas,2016,3.6,11.0,13.0,278.69,129.3216666666667,8.7,8.22,8.92,36.63,35.13,22.0,28.0,24.0,27.0,6.53,113.06,258.06,28.0,23.0,36.43,False,False,True,False
Aguas_Vermelhas,2017,2.597402597402597,14.0,15.0,238.88,155.69750000000002,9.45,5.19,6.22,32.49,34.89,10.0,7.0,11.0,23.0,5.29,280.38,220.5,14.0,24.0,36.2,False,False,True,False
Aguas_Vermelhas,2018,3.0,11.0,26.0,179.19,139.60083333333333,9.15,9.08,8.78,33.69,31.3,13.0,14.0,3.0,30.0,9.08,215.12,221.19,10.0,18.0,34.81,False,False,True,False
Aguas_Vermelhas,2019,2.7,22.0,13.0,163.69,109.61,12.59,5.29,4.59,31.69,34.89,21.0,5.0,20.0,30.0,7.62,205.44,251.19,28.0,20.0,35.49,False,False,True,False
