number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.21249674777899497,2025-12-23 22:40:32.907179,2025-12-23 22:41:05.163918,0 days 00:00:32.256739,5.6115164153345e-05,COMPLETE
1,0.2942542505501646,2025-12-23 22:41:05.187182,2025-12-23 22:41:37.134801,0 days 00:00:31.947619,0.0007969454818643932,COMPLETE
2,0.299716567801969,2025-12-23 22:41:37.149213,2025-12-23 22:42:08.925141,0 days 00:00:31.775928,0.000291063591313307,COMPLETE
3,0.29989365716605965,2025-12-23 22:42:08.967485,2025-12-23 22:42:40.833759,0 days 00:00:31.866274,0.00015751320499779721,COMPLETE
4,0.19981639754060612,2025-12-23 22:42:40.847086,2025-12-23 22:43:12.757006,0 days 00:00:31.909920,2.0513382630874486e-05,COMPLETE
5,0.19981663292324825,2025-12-23 22:43:12.772879,2025-12-23 22:43:44.698523,0 days 00:00:31.925644,2.0511104188433963e-05,COMPLETE
6,0.20658712043023064,2025-12-23 22:43:44.710533,2025-12-23 22:44:16.563300,0 days 00:00:31.852767,1.3066739238053272e-05,COMPLETE
7,0.28542682938197594,2025-12-23 22:44:16.576071,2025-12-23 22:44:48.464356,0 days 00:00:31.888285,0.0005399484409787432,COMPLETE
8,0.29910902104245074,2025-12-23 22:44:48.479342,2025-12-23 22:45:20.483076,0 days 00:00:32.003734,0.00015930522616241006,COMPLETE
9,0.2963282515844096,2025-12-23 22:45:20.495364,2025-12-23 22:45:52.354833,0 days 00:00:31.859469,0.0002607024758370766,COMPLETE
10,0.20011708879792978,2025-12-23 22:45:52.367411,2025-12-23 22:46:24.165580,0 days 00:00:31.798169,4.194601131160366e-05,COMPLETE
11,0.20873850602499094,2025-12-23 22:46:24.197435,2025-12-23 22:46:56.302687,0 days 00:00:32.105252,1.0142441256676946e-05,COMPLETE
12,0.1942375501594129,2025-12-23 22:46:56.315226,2025-12-23 22:47:28.303789,0 days 00:00:31.988563,2.584204865433121e-05,COMPLETE
13,0.1942566331350741,2025-12-23 22:47:28.318777,2025-12-23 22:48:00.171631,0 days 00:00:31.852854,3.1168318574563075e-05,COMPLETE
14,0.20467860919435615,2025-12-23 22:48:00.186968,2025-12-23 22:48:32.190258,0 days 00:00:32.003290,4.8249221569826124e-05,COMPLETE
15,0.19359490322455725,2025-12-23 22:48:32.202054,2025-12-23 22:49:04.141191,0 days 00:00:31.939137,2.9218042359749948e-05,COMPLETE
16,0.23671282277384403,2025-12-23 22:49:04.155699,2025-12-23 22:49:36.001057,0 days 00:00:31.845358,7.769238862255498e-05,COMPLETE
17,0.1971230178154803,2025-12-23 22:49:36.016559,2025-12-23 22:50:07.932131,0 days 00:00:31.915572,2.2718891366909074e-05,COMPLETE
18,0.25693884430492353,2025-12-23 22:50:07.945234,2025-12-23 22:50:39.827962,0 days 00:00:31.882728,9.376250717644952e-05,COMPLETE
19,0.19474627944406253,2025-12-23 22:50:39.841047,2025-12-23 22:51:11.398548,0 days 00:00:31.557501,3.2328997559011564e-05,COMPLETE
