epoch,step,train_loss_epoch,train_loss_step
0,1,2.254354953765869,
1,3,2.8527464866638184,
2,5,2.288827896118164,
3,7,2.6235532760620117,
4,9,2.2969579696655273,
5,11,2.533135414123535,
6,13,2.4788143634796143,
7,15,2.0709609985351562,
8,17,1.6996166706085205,
9,19,1.6398160457611084,
10,21,2.0027854442596436,
11,23,1.882530689239502,
12,25,2.047045946121216,
13,27,2.029386043548584,
14,29,2.0563735961914062,
15,31,2.7737197875976562,
16,33,2.507966995239258,
17,35,2.690330743789673,
18,37,1.868300199508667,
19,39,1.6462056636810303,
20,41,2.275676965713501,
21,43,1.7475491762161255,
22,45,2.704949378967285,
23,47,2.061640739440918,
24,49,,2.429171085357666
24,49,2.3908815383911133,
25,51,2.2117018699645996,
26,53,1.8734900951385498,
27,55,1.7355445623397827,
28,57,2.201321601867676,
29,59,1.5835562944412231,
30,61,1.8801419734954834,
31,63,2.575943946838379,
32,65,1.9783854484558105,
33,67,1.8684874773025513,
34,69,1.9363139867782593,
35,71,1.9905864000320435,
36,73,2.6580405235290527,
37,75,1.4500036239624023,
38,77,2.6883788108825684,
39,79,2.317768096923828,
40,81,2.291297674179077,
41,83,1.8957245349884033,
42,85,2.0151753425598145,
43,87,2.779959201812744,
44,89,1.801748514175415,
45,91,2.232142448425293,
46,93,1.9751520156860352,
47,95,2.83986234664917,
48,97,2.1961116790771484,
49,99,,1.6790721416473389
49,99,2.035383701324463,
50,101,2.326206684112549,
51,103,1.9647674560546875,
52,105,2.362227439880371,
53,107,2.4510605335235596,
54,109,2.1595683097839355,
55,111,1.8922032117843628,
56,113,1.8676085472106934,
57,115,2.1713194847106934,
58,117,2.2940878868103027,
59,119,2.808823585510254,
60,121,1.8555011749267578,
61,123,1.9592654705047607,
62,125,2.1514573097229004,
63,127,2.5774683952331543,
64,129,1.640770435333252,
65,131,2.4831929206848145,
66,133,2.4482383728027344,
67,135,2.703885555267334,
68,137,3.147740125656128,
69,139,2.324374198913574,
70,141,2.5811996459960938,
71,143,1.3910558223724365,
72,145,2.1081554889678955,
73,147,2.1917316913604736,
74,149,,1.89994478225708
74,149,2.0160739421844482,
75,151,2.3384904861450195,
76,153,2.5937604904174805,
77,155,2.0866923332214355,
78,157,2.5351061820983887,
79,159,2.1816768646240234,
80,161,2.179490089416504,
81,163,1.9947925806045532,
82,165,1.5747647285461426,
83,167,2.329310178756714,
84,169,2.667814254760742,
85,171,2.233489751815796,
86,173,2.773524284362793,
87,175,2.417625665664673,
88,177,1.6674855947494507,
89,179,2.803741455078125,
90,181,2.4704365730285645,
91,183,1.960599422454834,
92,185,2.0380468368530273,
93,187,2.416395902633667,
94,189,2.156311511993408,
95,191,2.072734832763672,
96,193,2.2773642539978027,
97,195,2.318026542663574,
98,197,2.3345344066619873,
99,199,,1.4486984014511108
99,199,1.9754230976104736,
100,201,2.839946746826172,
101,203,2.1839027404785156,
102,205,2.2418770790100098,
103,207,1.6248027086257935,
104,209,1.9630824327468872,
105,211,2.875061511993408,
106,213,1.838447093963623,
107,215,2.383791923522949,
108,217,1.7209086418151855,
109,219,2.0394535064697266,
110,221,2.4029734134674072,
111,223,2.0849010944366455,
112,225,2.358619213104248,
113,227,2.6641979217529297,
114,229,2.608264446258545,
115,231,2.013812780380249,
116,233,2.363062858581543,
117,235,2.0832717418670654,
118,237,1.743834137916565,
119,239,2.10789155960083,
120,241,2.347892999649048,
121,243,2.239671230316162,
122,245,2.7847189903259277,
